,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
112,All We Got (feat. KIDDO),Robin Schulz,883279,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
113,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,880027,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
114,Believer,Imagine Dragons,872077,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
115,Shallow,Lady Gaga,867836,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
116,Say You Won't Let Go,James Arthur,864261,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
117,my ex's best friend (with blackbear),Machine Gun Kelly,857805,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
118,Falling,Harry Styles,857659,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
119,Why'd You Only Call Me When You're High?,Arctic Monkeys,851499,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
120,Stuck with U (with Justin Bieber),Ariana Grande,847109,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
121,If the World Was Ending - feat. Julia Michaels,JP Saxe,846924,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
122,Life Is Good (feat. Drake),Future,845413,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
123,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,843408,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
124,Love Not War (The Tampa Beat),Jason Derulo,841082,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
125,Sofia,Clairo,837565,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
126,Break My Heart,Dua Lipa,832942,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
127,Tattoo - Remix with Camilo,Rauw Alejandro,832670,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
128,Mood Swings (feat. Lil Tjay),Pop Smoke,831334,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
129,Despeinada,Ozuna,825868,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
130,Hayloft,Mother Mother,812487,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
131,Perfect,Ed Sheeran,812041,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
132,Goosebumps - Remix,Travis Scott,809416,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
133,7 rings,Ariana Grande,806285,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
134,SAD!,XXXTENTACION,801114,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
135,Dior,Pop Smoke,789574,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
136,Rain On Me (with Ariana Grande),Lady Gaga,787461,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
137,Maniac,Conan Gray,786510,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
138,Recairei - Ao Vivo,Os Barões Da Pisadinha,783860,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
139,Reminds Me Of You,Juice WRLD,783629,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
140,Way Out (feat. Big Sean),Jack Harlow,776003,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
141,Si Me Tomo Una Cerveza,Migrantes,771365,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
142,ROXANNE,Arizona Zervas,770316,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
143,POPSTAR (feat. Drake),DJ Khaled,764582,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
144,Midnight Sky,Miley Cyrus,763610,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
145,Chemtrails Over The Country Club,Lana Del Rey,762392,https://open.spotify.com/track/1PZDyestTVydtHpaIcfUJg
146,Do I Wanna Know?,Arctic Monkeys,761926,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
147,In Your Eyes,The Weeknd,761904,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
148,How You Like That,BLACKPINK,760031,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
149,Ride It,Regard,759920,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
150,La Jeepeta - Remix,Nio Garcia,757735,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
151,SICKO MODE,Travis Scott,755209,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
152,Bohemian Rhapsody - Remastered 2011,Queen,754739,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
153,Godzilla (feat. Juice WRLD),Eminem,751725,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
154,Shape of You,Ed Sheeran,742494,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
155,Mi Cuarto,Jerry Di,738876,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
156,Wasted On You,Morgan Wallen,737153,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
157,Whats Poppin (feat. DaBaby Tory Lanez & Lil Wayne) [Remix] - Bonus Track,Jack Harlow,736323,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
158,Hawái - Remix,Maluma,735912,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
159,everything i wanted,Billie Eilish,730630,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
160,ily (i love you baby) (feat. Emilee),Surf Mesa,726039,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
161,Yellow,Coldplay,723760,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
162,All of Me,John Legend,722699,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
163,hot girl bummer,blackbear,721628,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
164,Toosie Slide,Drake,718739,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
165,Tyler Herro,Jack Harlow,718238,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
166,Intentions (feat. Quavo),Justin Bieber,716106,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
167,BOOKER T,Bad Bunny,712274,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
168,Star Shopping,Lil Peep,709932,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
169,Ponte Pa' Mi,Justin Quiles,709449,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
170,Can You Feel My Heart,Bring Me The Horizon,706897,https://open.spotify.com/track/0WSa1sucoNRcEeULlZVQXj
171,Say So,Doja Cat,706402,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
172,No Te Enamores - Remix,Milly,705998,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
173,Someone To You,BANNERS,698567,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
174,Somebody ��s Problem,Morgan Wallen,686845,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
175,champagne problems,Taylor Swift,685851,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
176,Moonlight,XXXTENTACION,682472,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
177,Electric Love,BØRNS,681562,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
178,Everybody Dies In Their Nightmares,XXXTENTACION,679126,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
179,Tú Me Dejaste De Querer,C. Tangana,674960,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
180,MODO TURBO,Luísa Sonza,671894,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
181,Smells Like Teen Spirit,Nirvana,667844,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
182,Cry Baby (feat. DaBaby),Megan Thee Stallion,666814,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
183,Go Crazy,Chris Brown,665340,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
184,De Cora <3,Rauw Alejandro,664326,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
185,Alô Ambev (Segue Sua Vida) - Ao Vivo,Zé Neto & Cristiano,663406,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
186,Lance Individual,Jorge & Mateus,661631,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
187,Astronaut In The Ocean,Masked Wolf,657034,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
188,Take Me To Church,Hozier,653658,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
189,The Less I Know The Better,Tame Impala,653172,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
190,Buss It,Erica Banks,653118,https://open.spotify.com/track/78xj07VVFK5uHTaGPIu13S
191,I Don't Care (with Justin Bieber),Ed Sheeran,651220,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
192,Without Me,Halsey,650121,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
193,Diamonds,Sam Smith,649408,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
194,Don't Play,Anne-Marie,647565,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
195,Be Alright,Dean Lewis,647255,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
196,when the party's over,Billie Eilish,646559,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
197,Hope,XXXTENTACION,644321,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
198,Lovesick Girls,BLACKPINK,642687,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
199,Amor ou o Litrão,Petter Ferraz,642605,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
200,Caramelo,Ozuna,641511,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
